FID,ID1,Name,NAICSCode,NACSDescri,NAICSTitle,EmplRange,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Street_Add,Bldg_No,Unit_No,PostalCode,Modified_D,PIN,Character,Ward
6092,8458,Scarlett House Airside Services Inc.,488119,Transportation,Other Airport Operations,50 to 99,9056726302, , ,info@scarletthouse.ca,www.scarletthouse.ca,7615,Kimbel St,7615 Kimbel St, ,4,L5S 1A8,2018/12/30 00:00:00+00,10012500,Northeast EA (West),5
6093,56641,C & J Designs Ltd.,325220,Manufacturing,Artificial and Synthetic Fibres and Filaments Manufacturing,5 to 9,905-678-7772,905-678-7770, ,owen@candjdesigns.com,www.candijdesigns.com,7615,Kimbel St,7615 Kimbel St, ,10,L5S 1A8,2017/06/08 00:00:00+00,10012500,Northeast EA (West),5
6094,86532,Robinson Show Services,531390,Real Estate,Other Activities Related to Real Estate,20 to 49,905-417-7789,905-417-2244, ,connect@robinsonshowservices.ca,www.robinsonshowservices.ca,7615,Kimbel St,7615 Kimbel St, ,1&2,L5S 1A8,2017/11/09 00:00:00+00,10012500,Northeast EA (West),5
6095,11365,G 2 S Equipment,415290,Wholesale,Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors,5 to 9,905-678-8665,905-678-8660,1-888-978-8665,bryan@g2sequip.ca,www.g2sequip.com,7625,Kimbel St,7625 Kimbel St, ,18 to 20,L5S 1A9,2017/06/08 00:00:00+00,10012600,Northeast EA (West),5
6096,11363,Adee Flour Mills,561910,Administrative,Packaging and Labelling Services,10 to 19,905-678-9995, , , ,www.adeeflourmills.com,7625,Kimbel St,7625 Kimbel St, ,17,L5S 1A9,2017/06/08 00:00:00+00,10012600,Northeast EA (West),5
6097,11367,Air Star Packaging,326198,Manufacturing,All Other Plastic Product Manufacturing,5 to 9,905-673-7663,905-673-5196, ,babbupannu@hotmail.com,www.airstarpackaging.com,7625,Kimbel St,7625 Kimbel St, ,21,L5S 1A9,2017/11/09 00:00:00+00,10012600,Northeast EA (West),5
6098,49383,Can US Design and Manufacturing,332710,Manufacturing,Machine Shops,5 to 9,905-677-3680,905-677-3686, ,prabhi@canusdesign.ca,www.canusdesign.ca,7625,Kimbel St,7625 Kimbel St, ,12 to 14,L5S 1A9,2017/06/08 00:00:00+00,10012600,Northeast EA (West),5
6099,56644,Dri-Lec Building Services Inc.,236220,Construction,Commercial and Institutional Building Construction,10 to 19,905-567-1147,866-395-9277, , ,www.dri-lec.ca,7625,Kimbel St,7625 Kimbel St, ,22,L5S 1A9,2017/06/08 00:00:00+00,10012600,Northeast EA (West),5
6100,11377,B R C Inc.,561990,Administrative,All Other Support Services,10 to 19,905-362-8900,905-362-8902, ,brcincoffice@gmail.com,www.brcinc.ca,7635,Kimbel St,7635 Kimbel St, , ,L5S 1A7,2017/11/09 00:00:00+00,10012700,Northeast EA (West),5
6101,89058,Kartar Truck Repair Ltd.,811199,Other Services,All Other Automotive Repair and Maintenance,1 to 4,9053622011,9053622013, ,carter.repair@hotmail.com, ,7649,Kimbel St,7649 Kimbel St, , ,L5S 1A7,2018/12/30 00:00:00+00,10012800,Northeast EA (West),5
6102,11398,D & R Technology Inc.,333519,Manufacturing,Other Metalworking Machinery Manufacturing,10 to 19,905-672-7669,905-672-5659,1-888-511-7669,info@dnrtechnology.com,www.dnrtechnology.com,7669,Kimbel St,7669 Kimbel St, , ,L5S 1A7,2017/11/09 00:00:00+00,10013000,Northeast EA (West),5
6103,11413,Airport Railings Co. Ltd.,332329,Manufacturing,Other Ornamental and Architectural Metal Product Manufacturing,N/A,905-677-1678,905-677-8096, ,info@airportrailings.com,www.airportrailings.com,7679,Kimbel St,7679 Kimbel St, , ,L5S 1A7,2017/11/09 00:00:00+00,10013100,Northeast EA (West),5
6104,56668,"Truck, Car and Forklift Droving School",611690,Educational,All Other Schools and Instruction,1 to 4,905-677-4400,905-677-6067, ,youthdrivingschool@gmail.com,www.youthdrivingschool.ca,7699,Kimbel St,7699 Kimbel St, , ,L5S 1A7,2017/06/08 00:00:00+00,10013200,Northeast EA (West),5
6105,11351,K-G Spray-Pak Industries,561910,Administrative,Packaging and Labelling Services,20 to 49,905-677-1948,905-677-7390, ,infoaerosol@spray-pak.com,www.kgpackaging.com,7550,Kimbel St,7550 Kimbel St, , ,L5S 1A2,2017/06/08 00:00:00+00,10013300,Northeast EA (West),5
6106,11343,Five Star Rags Inc.,414110,Wholesale,Clothing and Clothing Accessories Wholesaler-Distributors,50 to 99,905-405-8365,905-405-1409, ,salim@fivestarrags.com,www.fivestarrags.com,7500,Kimbel St,7500 Kimbel St, , ,L5S 1A2,2017/06/08 00:00:00+00,10013400,Northeast EA (West),5
6107,11339,Hansco Distributors Inc.,311211,Manufacturing,Flour Milling,1 to 4,905-677-0691,905-677-6189, ,office@hanscodistributors.com,www.hanscodistributors.com,7480,Kimbel St,7480 Kimbel St, ,1&2,L5S 1A5,2017/11/09 00:00:00+00,10013500,Northeast EA (West),5
6108,19946,Imperial Meats Delicatessen,722511,Accommodation,Full-service restaurants,1 to 4,9056710900, , ,imperialmeats@hotmail.ca,www.imperialmeatsdeli.ca/mississauga,7310,Torbram Rd,7310 Torbram Rd, ,1,L4T 3X2,2018/12/30 00:00:00+00,10013500,Northeast EA (West),5
6109,19947,National Counter Tops Inc.,337110,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,1 to 4,905-908-2442,905-908-2213, ,sales.nct@live.ca,www.nationalcountertops.ca,7310,Torbram Rd,7310 Torbram Rd, ,4,L4T 3X2,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6110,55457,Abflex Rubber Inc.,326198,Manufacturing,All Other Plastic Product Manufacturing,10 to 19,905-678-0320,905-678-1867, ,abflex.kirk@bellnet.ca,www.abflexrubber.com,7480,Kimbel St,7480 Kimbel St, ,5 to 7,L5S 1A5,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6111,58226,Trans World Traders Limited,418410,Wholesale,Chemical (except Agricultural) and Allied Product Wholesaler-Distributors,1 to 4,905-612-1122, , ,steve@twt.ca,www.twt.ca,7310,Torbram Rd,7310 Torbram Rd, ,7,L4T 3X2,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6112,58235,Sunsai Countertops Inc.,321999,Manufacturing,All Other Miscellaneous Wood Product Manufacturing,1 to 4,905-678-9101,905-676-9102, ,sunsaicountertops@gmail.com,www.sunsaicountertops.com,7310,Torbram Rd,7310 Torbram Rd, ,5,L4T 3X2,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6113,85250,QualyParts Inc. o/a EEP Truck Parts,417990,Wholesale,"All Other Machinery, Equipment and Supplies Wholesaler-Distributors",1 to 4,416-755-1888,888-860-8189, ,qualypartsinc@gmail.com, ,7310,Torbram Rd,7310 Torbram Rd, ,2,L4T 3X2,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6114,86273,Foamit,238299,Construction,All Other Building Equipment Contractors,1 to 4,416-893-8712, , , ,www.foamit.ca,7310,Torbram Rd,7310 Torbram Rd, ,1C,L4T 3X2,2017/06/08 00:00:00+00,10013500,Northeast EA (West),5
6115,89177,Suns Labels and Systems Inc.,323119,Manufacturing,Other Printing,1 to 4,9056787741,9058886788, ,info@sunlabels.ca,www.sunlabels.ca,7480,Kimbel St,7480 Kimbel St, ,1 to 4,L5S 1A5,2018/12/30 00:00:00+00,10013500,Northeast EA (West),5
6116,19956,Sunpetra Solar Energy Inc.,416390,Wholesale,Other Specialty-Line Building Supplies Wholesaler-Distributors,5 to 9,905-670-1100,905-670-1151, ,sunpetra.ca@gmail.com,www.sunpetra.com,7355,Torbram Rd,7355 Torbram Rd, ,14,L4T 3W3,2017/06/07 00:00:00+00,10013600,Northeast EA (West),5
6117,19954,SASH Transportation Service Inc.,561310,Administrative,Employment Placement Agencies and Executive Search Services,1 to 4,905-678-6688,905-677-0648, , ,www.sashts.com,7355,Torbram Rd,7355 Torbram Rd, ,3,L4T 3W3,2017/11/09 00:00:00+00,10013600,Northeast EA (West),5
6118,19955,Multicrete Systems,417310,Wholesale,"Computer, Computer Peripheral and Pre-Packaged Software Wholesaler-Distributors",1 to 4,905-677-0717,905-677-1053, , ,www.multicretesystems.com,7355,Torbram Rd,7355 Torbram Rd, ,24,L4T 3W3,2017/11/09 00:00:00+00,10013600,Northeast EA (West),5
6119,49477,B & R Air System Inc.,333413,Manufacturing,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,1 to 4,905-671-1849,905-671-2048, ,bandrairsysteminc@bellnet.ca, ,7355,Torbram Rd,7355 Torbram Rd, ,18,L4T 3W3,2017/06/07 00:00:00+00,10013600,Northeast EA (West),5
6120,87465,Filaments,417310,Wholesale,"Computer, Computer Peripheral and Pre-Packaged Software Wholesaler-Distributors",1 to 4,905-677-1337, ,1-888-536-5551,info@filaments.ca,www.filaments.ca,7355,Torbram Rd,7355 Torbram Rd, ,15,L4T 3W3,2017/11/09 00:00:00+00,10013600,Northeast EA (West),5
6121,11312,New Malwa Express Inc.,484121,Transportation,"General Freight Trucking, Long Distance, Truck-Load",10 to 19,905-678-8700,905-678-6363,1-800-505-6634,info@newmalwa.com,www.newmalwa.com,7300,Kimbel St,7300 Kimbel St, , ,L4T 3S8,2017/11/09 00:00:00+00,10013700,Northeast EA (West),5
6122,19799,Satkar Palace,722320,Accommodation,Caterers,1 to 4,905-677-8200,905-677-4717, ,info@satkarpalacebanquethall.com,www.satkarpalacebanquethall.com,7089,Torbram Rd,7089 Torbram Rd, ,1 to 3,L4T 1G7,2017/06/08 00:00:00+00,10014100,Northeast EA (West),5
6123,19796,ProZone Auto,441120,Retail,Used Car Dealers,5 to 9,905-677-8585,905-678-8169,1-877-845-1006, ,www.prozoneauto.ca,7089,Torbram Rd,7089 Torbram Rd, ,6&7,L4T 1G7,2017/11/09 00:00:00+00,10014100,Northeast EA (West),5
6124,19797,H T Auto Repair,811111,Other Services,General Automotive Repair,1 to 4,905-671-1919, , ,htauto7089@gmail.com, ,7089,Torbram Rd,7089 Torbram Rd, ,6,L4T 1G7,2017/06/08 00:00:00+00,10014100,Northeast EA (West),5
6125,50727,Precision Tool & Die Inc.,333519,Manufacturing,Other Metalworking Machinery Manufacturing,5 to 9,905-461-1820,905-461-1824, ,engineering@precisiontool.ca,www.precisiontool.ca,7093,Torbram Rd,7093 Torbram Rd, ,8 to 10,L4T 1G7,2017/06/08 00:00:00+00,10014100,Northeast EA (West),5
6126,86266,Steel Centres Machinery & Service Ltd.,332710,Manufacturing,Machine Shops,1 to 4,905-678-0525,905-678-6250, ,info@igeinc.com, ,7093,Torbram Rd,7093 Torbram Rd, ,3 to 7,L4T 1G7,2017/06/08 00:00:00+00,10014100,Northeast EA (West),5
6127,49472,Polaris Transportation Group,488519,Transportation,Other Freight Transportation Arrangement,20 to 49,9056713100,9056746000, ,gery@polaristransport.com,www.polaristransport.com,7099,Torbram Rd,7099 Torbram Rd, , ,L4T 1G7,2018/12/30 00:00:00+00,10014200,Northeast EA (West),5
6128,19882,Rexdale Truck & Coach Services Ltd.,811111,Other Services,General Automotive Repair,1 to 4,905-908-1173,416-745-1317, ,rexdaletruck@gmail.com, ,7195,Torbram Rd,7195 Torbram Rd, ,8,L4T 4G3,2017/06/08 00:00:00+00,10022100,Northeast EA (West),5
6129,19885,Riteway Tire,811119,Other Services,Other Automotive Mechanical and Electrical Repair and Maintenance,1 to 4,905-673-7235,905-673-5804, , , ,7195,Torbram Rd,7195 Torbram Rd, ,2&3,L4T 4G3,2017/11/09 00:00:00+00,10022100,Northeast EA (West),5
6130,19884,Krown Rust Control,811199,Other Services,All Other Automotive Repair and Maintenance,1 to 4,905-673-2525,905-673-8882, ,krown.malton@gmail.com,www.krown.com,7195,Torbram Rd,7195 Torbram Rd, ,5,L4T 1G7,2017/11/09 00:00:00+00,10022100,Northeast EA (West),5
6131,19888,Fume Bar & Lounge,722512,Accommodation,Limited-service eating places,1 to 4,905-673-3863, , ,fumebarlounge@gmail.com, ,7195,Torbram Rd,7195 Torbram Rd, ,4,L4T 4G3,2017/06/08 00:00:00+00,10022100,Northeast EA (West),5
6132,55548,Unique Automotive Inc.,811111,Other Services,General Automotive Repair,1 to 4,905-672-7190,905-673-8882, , , ,7195,Torbram Rd,7195 Torbram Rd, ,6,L4T 4G3,2017/06/08 00:00:00+00,10022100,Northeast EA (West),5
6133,19922,K 2 International Marketing Support Services,417320,Wholesale,"Electronic Components, Navigational and Communications Equipment and Supplies Wholesaler-Distributors",10 to 19,905-677-5455,905-678-0346, ,ecorrado@k2intl.com,www.k2intl.com,7289,Torbram Rd,7289 Torbram Rd, , ,L4T 1G8,2017/11/09 00:00:00+00,10022500,Northeast EA (West),5
6134,19939,Worldwide Facility Ltd.,415310,Wholesale,Used Motor Vehicle Parts and Accessories Wholesaler-Distributors,1 to 4,905-673-9868,905-673-9801, ,worldwidefacility@gmail.com,www.wwfltd.ca,7295,Torbram Rd,7295 Torbram Rd, , ,L4T 1G8,2017/11/09 00:00:00+00,10022500,Northeast EA (West),5
6135,19941,I T W Insulation Systems Canada,332329,Manufacturing,Other Ornamental and Architectural Metal Product Manufacturing,1 to 4,905-676-1444,905-676-0059,1-800-387-6818, ,www.itwinsulation.com,7305,Torbram Rd,7305 Torbram Rd, , ,L4T 1G8,2017/06/07 00:00:00+00,10022500,Northeast EA (West),5
6136,86272,Northern Lights and Doors Inc.,331221,Manufacturing,Cold-Rolled Steel Shape Manufacturing,10 to 19,905-612-0118,905-612-0150,1-800-820-2714,dave@nothernlightsanddoors.com,www.northernlightsanddoors.com,7293,Torbram Rd,7293 Torbram Rd, , ,L4T 1G8,2017/06/07 00:00:00+00,10022500,Northeast EA (West),5
6137,23949,International Transaction Systems,811210,Other Services,Electronic and Precision Equipment Repair and Maintenance,20 to 49,905-677-2088,905-677-0169, ,pointofsale@its.com,www.itspointofsale.com,7415,Torbram Rd,7415 Torbram Rd, , ,L4T 1G8,2017/06/07 00:00:00+00,10022700,Northeast EA (West),5
6138,19978,Lemmer Spray Systems (Ontario) Ltd.,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",1 to 4,905-673-1555,905-673-3201, ,tor@lemmer.com,www.lemmer.com,7585,Torbram Rd,7585 Torbram Rd, ,7 & 8,L4T 1H2,2017/11/09 00:00:00+00,10022900,Northeast EA (West),5
6139,19981,Life Like Imaging Inc.,323119,Manufacturing,Other Printing,5 to 9,905-453-2551,905-672-2814, ,sales@life-like-imaging.com,www.life-like-imaging.com,7585,Torbram Rd,7585 Torbram Rd, ,12&13,L4T 1H2,2017/11/09 00:00:00+00,10022900,Northeast EA (West),5
6140,19979,A M Delivery,413120,Wholesale,Dairy and Milk Products Wholesaler-Distributors,1 to 4,905-672-6455,905-672-9015, ,amdelivery@hotmail.ca,www.amdelivery.ca,7585,Torbram Rd,7585 Torbram Rd, ,10&11,L4T 1H2,2017/11/09 00:00:00+00,10022900,Northeast EA (West),5
6141,19985,Glacier Tool & Findings Mfg. Ltd.,331523,Manufacturing,Non-Ferrous Die-Casting Foundries,10 to 19,905-673-8339,905-673-7664, ,design@glaciertoolmfg.com,www.glaciertoolmfg.com,7585,Torbram Rd,7585 Torbram Rd, ,1,L4T 1H2,2017/06/07 00:00:00+00,10022900,Northeast EA (West),5
6142,89010,Fruitilicious Cakes Inc.,722310,Accommodation,Food Service Contractors,1 to 4,6478977531, , ,passion@fruitiliciouscakes.com,www.fruitiliciouscakes.com,7585,Torbram Rd,7585 Torbram Rd, ,5,L4T 1H2,2018/12/30 00:00:00+00,10022900,Northeast EA (West),5
6143,89011,Habib Quality Foods Inc.,413190,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,1 to 4,4162409041, , ,info@habibqualityfoods.com,www.habibqualityfoods.com,7585,Torbram Rd,7585 Torbram Rd, ,4,L4T 1H2,2018/12/30 00:00:00+00,10022900,Northeast EA (West),5
6144,19988,Maksteel,332118,Manufacturing,Stamping,100 to 299,905-671-9000,905-673-4937, , ,www.maksteel.com,7615,Torbram Rd,7615 Torbram Rd, , ,L4T 4A8,2018/08/16 00:00:00+00,10023000,Northeast EA (West),5
6145,19987,Weston Forest Products Inc.,321111,Manufacturing,Sawmills (except Shingle and Shake Mills),100 to 299,905-677-9364,905-677-1639, ,info@westonforest.com,www.westonforest.com,7600,Torbram Rd,7600 Torbram Rd, , ,L4T 3L8,2017/11/09 00:00:00+00,10023300,Northeast EA (West),5
6146,19976,Sprout King Corp.,413190,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,5 to 9,905-678-8388,905-678-8288, ,info@sproutking.ca,www.sproutking.ca,7570,Torbram Rd,7570 Torbram Rd, , ,L4T 3L8,2017/06/07 00:00:00+00,10023400,Northeast EA (West),5
6147,19977,Imperial Flavours Inc.,311520,Manufacturing,Ice Cream and Frozen Dessert Manufacturing,50 to 99,905-678-6680,905-678-6684, ,orders.imperialflavours.com,www.imperialflavours.com,7550,Torbram Rd,7550 Torbram Rd, , ,L4T 3L8,2017/11/09 00:00:00+00,10023400,Northeast EA (West),5
6148,19940,La Ropa Textiles,313310,Manufacturing,Textile and Fabric Finishing,50 to 99,289-562-0066,289-562-0067, ,laropatextiles@bellnet.ca, ,7300,Torbram Rd,7300 Torbram Rd, , ,L4T 3X2,2017/06/08 00:00:00+00,10023800,Northeast EA (West),5
6149,6542,Como Foods Inc.,311420,Manufacturing,"Fruit and Vegetable Canning, Pickling and Drying",5 to 9,905-676-1676,905-676-0176, ,info@comofoods.com,www.comofoods.com,2395,Drew Rd,2395 Drew Rd, ,5,L5S 1T2,2018/12/30 00:00:00+00,10023900,Northeast EA (West),5
6150,6539,Mabor Industrial Inc.,417910,Wholesale,Office and Store Machinery and Equipment Wholesaler-Distributors,1 to 4,905-677-1786,905-677-6916, ,sales@mabor.ca,www.mabor.ca,2395,Drew Rd,2395 Drew Rd, ,2&3,L5S 1T2,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6151,6541,SpilKleen Inc.,417990,Wholesale,"All Other Machinery, Equipment and Supplies Wholesaler-Distributors",1 to 4,905-293-9995,905-293-9996, ,toronto@spilkleen.com,www.spilkleen.com,2395,Drew Rd,2395 Drew Rd, ,1,L5S 1T2,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6152,6548,Inland Express, , , ,1 to 4,905-272-0006, , , , ,2407,Drew Rd,2407 Drew Rd, , ,L5S 1A1,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6153,6545,Sams Lift Truck Service,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",1 to 4,905-672-7267,905-672-3675, ,samslift@on.aibn.com,www.samslift.com,2395,Drew Rd,2395 Drew Rd, ,6,L5S 1T2,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6154,19905,S C P  Transport,488519,Transportation,Other Freight Transportation Arrangement,5 to 9,905-293-9667,905-293-9577, ,scptransport@bellnet.ca, ,7270,Torbram Rd,7270 Torbram Rd, ,6,L4T 3Y7,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6155,19902,Canadian Forklift Training Centre,611690,Educational,All Other Schools and Instruction,1 to 4,905-673-7300,905-362-2111,1-888-825-1999,info@canadianforklifttraining.com,www.canadianforklifttraining.com,7270,Torbram Rd,7270 Torbram Rd, ,2&3,L4T 3Y7,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6156,19903,Thermould Inc.,333511,Manufacturing,Industrial Mould Manufacturing,1 to 4,905-677-2331,905-677-2315, ,thermouldinc@on.aibn.com, ,7270,Torbram Rd,7270 Torbram Rd, ,12 to 14,L4T 3Y7,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6157,19933,Relm Transportation Service Courier,484110,Transportation,"General Freight Trucking, Local",10 to 19,905-672-7268, , ,relmtransportation@msn.com,www.relmtransportation.com,7290,Torbram Rd,7290 Torbram Rd, ,7,L4T 3Y8,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6158,19907,Torbram Restaurant,722511,Accommodation,Full-service restaurants,1 to 4,905-677-9638, , ,torbramrestaurant@gmail.com, ,7270,Torbram Rd,7270 Torbram Rd, ,7,L4T 3Y7,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6159,19906,Ameet Tanna & Kish M. Gandhi CPA,541212,Professional,Offices of  Accountants,1 to 4,905-673-1405,905-673-9743, , , ,7270,Torbram Rd,7270 Torbram Rd, ,101,L4T 3Y7,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6160,19912,T E S Torbram Electric Supply,416110,Wholesale,Electrical Wiring and Construction Supplies Wholesaler-Distributors,5 to 9,905-671-0800,905-671-3785, ,tesmis01@torbramelectric.com,www.torbramelectric.com,7270,Torbram Rd,7270 Torbram Rd, ,1&2,L4T 3Y7,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6161,19925,C I M A Pak Corp.,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",5 to 9,905-612-0053, ,1-877-631-2462,info@cima-pak.com,www.cima-pak.com,7290,Torbram Rd,7290 Torbram Rd, ,3,L4T 3Y8,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6162,19924,Instruments Canada Co. Ltd.,811210,Other Services,Electronic and Precision Equipment Repair and Maintenance,10 to 19,905-676-1111,905-908-0090, , ,www.instrumentscanada.com,7290,Torbram Rd,7290 Torbram Rd, ,5&6,L4T 3Y8,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6163,19927,Dejavoo Canada Inc.,541514,Professional,Computer systems design and related services (except video game design and development),10 to 19,647-430-0905,800-845-8116,1-877-332-4888,info@dejavoocanada.com,www.dejavoocanada.com,7290,Torbram Rd,7290 Torbram Rd, ,1,L4T 3Y8,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6164,19937,Ledle Media Inc.,335120,Manufacturing,Lighting Fixture Manufacturing,1 to 4,905-672-2669, , ,canada@ledlemedia.com, ,7290,Torbram Rd,7290 Torbram Rd, ,9,L4T 3Y8,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6165,19935,Everlast Kitchen & Woodwork Inc,236110,Construction,Residential Building Construction,1 to 4,905-677-0010,905-677-0020, ,selvamahen@yahoo.ca,www.everlastkitchen.ca,7290,Torbram Rd,7290 Torbram Rd, ,10,L4T 3Y8,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6166,22403,Deetag,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",5 to 9,905-671-4673,905-671-4690,1-888-306-4673, ,www.deetag.com,2411,Drew Rd,2411 Drew Rd, , ,L5S 1A1,2018/08/16 00:00:00+00,10023900,Northeast EA (West),5
6167,47406,Acuren,541710,Professional,"Research and Development in the Physical, Engineering and Life Sciences",10 to 19,905-673-9899,905-673-8394, ,esotomayor@acuren.com,www.acuren.com,2421,Drew Rd,2421 Drew Rd, , ,L5S 1A1,2018/08/17 00:00:00+00,10023900,Northeast EA (West),5
6168,47600,Green Mountain Giftware,453220,Retail,"Gift, Novelty and Souvenir Stores",1 to 4,905-677-9990, , ,info@greenmt.ca,www.greenmt.ca,7270,Torbram Rd,7270 Torbram Rd, ,4&5,L4T 3Y7,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6169,47820,Seven Seas Worldwide,488519,Transportation,Other Freight Transportation Arrangement,1 to 4, , ,1-877-817-7327,rajiv.saini@sevenseasworldwide.com,www.sevenseasworldwide.com,7270,Torbram Rd,7270 Torbram Rd, ,15,L4T 3Y7,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6170,49482,Amerjet International Inc.,484110,Transportation,"General Freight Trucking, Local",5 to 9,9054050808, , ,cargonav@ica.net, ,7270,Torbram Rd,7270 Torbram Rd, ,22&23,L4T 3Y7,2018/12/30 00:00:00+00,10023900,Northeast EA (West),5
6171,57629,Ascension Equipment Sales Ltd.,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",1 to 4,905-672-5211,905-672-8123,1-800-410-4375,bmiddlebrook@ascensionsales.ca,www.ascensionequipment.com,7270,Torbram Rd,7270 Torbram Rd, ,16,L4T 3Y7,2017/06/08 00:00:00+00,10023900,Northeast EA (West),5
6172,58457,Mint Leaf Kitchens (Jagde Holdings Inc.),337110,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,1 to 4,9056733152, , ,mintleafkitchens@gmail.com, ,7290,Torbram Rd,7290 Torbram Rd, ,11&12,L4T 3Y8,2018/12/30 00:00:00+00,10023900,Northeast EA (West),5
6173,86271,PiCo Design Inc.,416390,Wholesale,Other Specialty-Line Building Supplies Wholesaler-Distributors,1 to 4,905-677-1599,866-477-2806, ,info@picodesign.ca,www.picodesign.ca,7270,Torbram Rd,7270 Torbram Rd, ,18,L4T 3Y7,2017/11/09 00:00:00+00,10023900,Northeast EA (West),5
6174,89166,Spilkleen,418990,Wholesale,All Other Wholesaler-Distributors,5 to 9,9052939995,9052939996,8774555336,customerservice@spillkleen.com,www.spilkleen.com/,2395,Drew Rd,2395 Drew Rd, ,1,L5S 1T2,2018/12/30 00:00:00+00,10023900,Northeast EA (West),5
6175,47898,Triple A Cheese Co. Ltd.,311515,Manufacturing,"Butter, Cheese, and Dry and Condensed Dairy Product Manufacturing",10 to 19,905-678-7053,905-678-8794, ,admin@tripleacheese.com,www.tripleacheese.com,7210,Torbram Rd,7210 Torbram Rd, , ,L4T 3L7,2017/06/08 00:00:00+00,10024000,Northeast EA (West),5
6176,12851,Luke's Mower & Machine Ltd.,444210,Retail,Outdoor Power Equipment Stores,5 to 9,905-670-2129,905-670-9471, ,sales@lukesmower.com,www.lukesmower.com,5799,Luke Rd,5799 Luke Rd, , ,L4W 1T2,2017/11/09 00:00:00+00,10024100,Northeast EA (West),5
6177,48,Britannia Fleet Services,811111,Other Services,General Automotive Repair,20 to 49,9056704545,9056701121, , ,www.britanniafleet.ca,5845,Luke Rd,5845 Luke Rd, ,5,L4W 2K5,2018/12/30 00:00:00+00,10024200,Northeast EA (West),5
6178,12852,Alternatel Inc.,417320,Wholesale,"Electronic Components, Navigational and Communications Equipment and Supplies Wholesaler-Distributors",5 to 9,905-696-9052,905-564-8824, ,maria@alternatel.ca,www.alternatel.ca,5845,Luke Rd,5845 Luke Rd, ,105,L4W 2K5,2017/11/09 00:00:00+00,10024200,Northeast EA (West),5
6179,12853,Pacific Paving Ltd.,237310,Construction,"Highway, Street and Bridge Construction",20 to 49,9056707730,9056707631, ,admin@pacificpaving.ca,www.pacificpaving.ca,5845,Luke Rd,5845 Luke Rd, ,204,L4W 2K5,2018/12/30 00:00:00+00,10024200,Northeast EA (West),5
6180,49198,Truck X-Change,415120,Wholesale,"Truck, Truck Tractor and Bus Wholesaler-Distributors",1 to 4,9055646889,9055640362, ,mckeownttx@aol.com,www.canadiantrucksales.ca,5845,Luke Rd,5845 Luke Rd, ,101 to 104,L4W 2K5,2018/12/30 00:00:00+00,10024200,Northeast EA (West),5
6181,49196,Posi Plus Technologies Ontario Inc.,333990,Manufacturing,All Other General-Purpose Machinery Manufacturing,5 to 9, ,9057952802, ,posiont@attglobal.net,www.posiplus.com,5845,Luke Rd,5845 Luke Rd, ,110,L4W 2K5,2018/12/30 00:00:00+00,10024200,Northeast EA (West),5
6182,52101,Breakthru Truck Repair Ltd.,811111,Other Services,General Automotive Repair,1 to 4,9055647040,9055647042, , , ,5845,Luke Rd,5845 Luke Rd, , ,L4W 2K5,2018/12/30 00:00:00+00,10024200,Northeast EA (West),5
